contactpersoon	O
:	O
T.A.	B-PER
Mosterman	E-PER
T	O
0570-679425	O
e-mail	O
:	O
thijs.mosterman@oranjewoud.nl	O
F	O
(	O
570	O
)	O
663985	O
typ.	O
:	O
DW	O
bijlage	O
(	O
n	O
)	O
:	O
als	O
genoemd	O
coll	O
.	O
:	O
Handelsregister	O
Leeuwarden	O
1041339	O
ingeschreven	O
onder	O
Ingenieursbureau	O
Oranjewoud	O
B.V.	O
btw.nr.	O
NL003616654B02	O
Vestigingen	O
in	O
Heerenveen	O
/	O
Assen	O
/	O
Schoonebeek	O
/	O
Deventer	O
/	O
Almere	O
/	O
Capelle	O
a/d	O
IJssel	O
/	O
Goes	O
/	O
Oosterhout	O
/	O
Geleen	O
Gemeente	O
Apeldoorn	O
T.a.v.	O
de	O
heer	O
B.	B-PER
van	I-PER
der	I-PER
Mark	E-PER
Postbus	O
9033	O
7300	O
ES	O
APELDOORN	O
datum	O
10	O
november	O
2006	O
uw	O
brief	O
van	O
uw	O
kenmerk	O
ons	O
kenmerk	O
164628	O
onderwerp	O
Aanvullend	O
bodemonderzoek	O
Eglantier	O
te	O
Apeldoorn	O
,	O
locatie	O
B2	O
(	O
openbare	O
weg	O
)	O
Geachte	O
heer	O
Van	B-PER
der	I-PER
Mark	E-PER
,	O
Hierbij	O
ontvangt	O
u	O
de	O
resultaten	O
van	O
het	O
uitgevoerde	O
bodemonderzoek	O
op	O
het	O
bovengenoemde	O
terrein	O
.	O
Aanleiding	O
voor	O
het	O
aanvullend	O
bodemonderzoek	O
zijn	O
de	O
resultaten	O
van	O
het	O
door	O
ons	O
bureau	O
uitgevoerde	O
verkennend	O
onderzoek	O
(	O
Berm-	O
en	O
wegmateriaalonderzoek	O
plangebied	O
Eglantier/Gildelaan	O
te	O
Apeldoorn	O
,	O
kenmerk	O
164628	O
,	O
15	O
augustus	O
2006	O
)	O
.	O
Deze	O
locatie	O
is	O
onderzocht	O
in	O
het	O
kader	O
van	O
de	O
geplande	O
herinrichting-	O
en	O
renovatiewerkzaamheden	O
.	O
Hierbij	O
is	O
ter	O
plaatse	O
van	O
deellocatie	O
B2	O
een	O
tussenwaarde	O
overschrijding	O
aan	O
PAK	O
(	O
37	O
mg/kg	O
ds	O
)	O
in	O
mengmonster	O
MM02	O
gemeten	O
.	O
Om	O
meer	O
inzicht	O
te	O
krijgen	O
in	O
de	O
mate	O
en	O
omvang	O
van	O
deze	O
verontreiniging	O
is	O
een	O
aanvullend	O
bodemonderzoek	O
uitgevoerd	O
.	O
Het	O
doel	O
van	O
het	O
onderzoek	O
is	O
het	O
vaststellen	O
van	O
de	O
mate	O
en	O
omvang	O
van	O
de	O
milieuhygiënische	O
kwaliteit	O
van	O
de	O
grond	O
en	O
de	O
eventuele	O
