	token	gold	model
0	datum	['']	[]
1	24-5-2018	['']	[]
2	dossiercode	['']	[]
3	20180524-12-17944	['']	[]
4	Project	['']	[]
5	:	['']	[]
6	Bestemmingsplan	['']	[]
7	Purmerweg	['']	[]
8	19-21	['']	[]
9	2018	['']	[]
10	Gemeente	['']	[]
11	:	['']	[]
12	Purmerend	['']	[]
13	Aanvrager	['']	[]
14	:	['']	[]
15	Mevrouw	['B_PER_1']	['B_PER_1']
16	M.	['I_PER_1']	['I_PER_1']
17	Verheijen	['I_PER_1']	['I_PER_1']
18	Organisatie	['']	[]
19	:	['']	[]
20	Bugel	['']	[]
21	Hajema	['']	[]
22	Adviseurs	['']	[]
23	Geachte	['']	[]
24	heer/mevrouw	['']	[]
25	Mevrouw	['B_PER_1']	['B_PER_0']
26	M.	['I_PER_1']	['I_PER_0']
27	Verheijen	['I_PER_1']	['I_PER_0']
28	,	['']	[]
29	Voor	['']	[]
30	het	['']	[]
31	plan	['']	[]
32	Bestemmingsplan	['']	[]
33	Purmerweg	['']	[]
34	19-21	['']	[]
35	2018	['']	[]
36	heeft	['']	[]
37	u	['B_PER_1']	['B_PER_2']
38	advies	['']	[]
39	aangevraagd	['']	[]
40	in	['']	[]
41	het	['']	[]
42	kader	['']	[]
43	van	['']	[]
44	de	['']	[]
45	watertoets	['']	[]
46	op	['']	[]
47	www.dewatertoets.nl.	['']	[]
48	Met	['']	[]
49	de	['']	[]
50	gegevens	['']	[]
51	die	['']	[]
52	u	['B_PER_1']	['B_PER_2']
53	heeft	['']	[]
54	opgegeven	['']	[]
55	is	['']	[]
56	bepaald	['']	[]
57	dat	['']	[]
58	bepaalde	['']	[]
59	aspecten	['']	[]
60	van	['']	[]
61	het	['']	[]
62	plan	['']	[]
63	een	['']	[]
64	zodanige	['']	[]
65	invloed	['']	[]
66	hebben	['']	[]
67	op	['']	[]
68	de	['']	[]
69	belangen	['']	[]
70	van	['']	[]
71	het	['']	[]
72	hoogheemraadschap	['']	[]
73	dat	['']	[]
74	de	['']	[]
75	normale	['']	[]
76	procedure	['']	[]
77	moet	['']	[]
78	worden	['']	[]
79	gevolgd	['']	[]
80	.	['']	[]
81	Dit	['']	[]
82	betekent	['']	[]
83	dat	['']	[]
84	wij	['']	['B_PER_3']
85	in	['']	[]
86	overleg	['']	[]
87	met	['']	[]
88	u	['B_PER_1']	['B_PER_4']
89	willen	['']	[]
90	bespreken	['']	[]
