	token	gold	model
0	>	['']	[]
1	Retouradres	['']	[]
2	Postbus	['']	[]
3	20701	['']	[]
4	2500	['']	[]
5	ES	['']	[]
6	Den	['']	[]
7	Haag	['']	[]
8	Veteranenombudsman	['B_PER_1']	[]
9	Dhr.	['B_PER_1']	[]
10	mr.	['I_PER_1']	['B_PER_1']
11	R.F.M.	['I_PER_1']	['I_PER_1']
12	van	['I_PER_1']	['I_PER_1']
13	Zutphen	['I_PER_1']	[]
14	Postbus	['']	[]
15	93122	['']	[]
16	2509	['']	[]
17	AC	['']	[]
18	Den	['']	[]
19	Haag	['']	[]
20	I.a.a	['']	[]
21	.	['']	[]
22	Zie	['']	[]
23	verzendlijst	['']	[]
24	Datum	['']	[]
25	:	['']	[]
26	24	['']	[]
27	maart	['']	[]
28	2023	['']	[]
29	Onderwerp	['']	[]
30	‘	['']	[]
31	Noodopvang	['']	[]
32	veteranen	['']	[]
33	‘	['']	[]
34	Pagina	['']	[]
35	1	['']	[]
36	van	['']	[]
37	3	['']	[]
38	Bestuursstaf	['']	[]
39	Plein	['']	[]
40	4	['']	[]
41	MPC	['']	[]
42	58	['']	[]
43	B	['']	[]
44	Postbus	['']	[]
45	20701	['']	[]
46	2500	['']	[]
47	ES	['']	[]
48	Den	['']	[]
49	Haag	['']	[]
50	www.defensie.nl	['']	[]
51	Onze	['']	['B_PER_2']
52	referentie	['']	[]
53	BS2022027879	['']	[]
54	Bijlage	['']	[]
55	:	['']	[]
56	Bij	['']	[]
57	beantwoording	['']	[]
58	datum	['']	[]
59	,	['']	[]
60	onze	['']	['B_PER_2']
61	referentie	['']	[]
62	en	['']	[]
63	onderwerp	['']	[]
64	vermelden	['']	[]
65	Geachte	['']	[]
66	heer	['B_PER_1']	['B_PER_3']
67	Van	['I_PER_1']	['I_PER_3']
68	Zutphen	['I_PER_1']	['I_PER_3']
69	,	['']	[]
70	In	['']	[]
71	mijn	['B_PER_2']	['B_PER_2']
72	brief	['']	[]
73	(	['']	[]
74	referentie	['']	[]
75	2022012951	['']	[]
76	)	['']	[]
77	van	['']	[]
78	23	['']	[]
79	mei	['']	[]
80	2022	['']	[]
81	heb	['']	[]
82	ik	['']	['B_PER_2']
83	een	['']	[]
84	inhoudelijke	['']	[]
85	reactie	['']	[]
86	gegeven	['']	[]
87	op	['']	[]
88	het	['']	[]
89	rapport	['']	[]
90	‘	['']	[]
91	Noodopvang	['']	[]
92	veteranen	['']	[]
93	’	['']	[]
94	dat	['']	[]
95	u	['B_PER_1']	['B_PER_4']
96	op	['']	[]
97	1	['']	[]
98	maart	['']	[]
99	2022	['']	[]
100	heeft	['']	[]
101	aangeboden	['']	[]
102	.	['']	[]
103	Ik	['B_PER_2']	['B_PER_2']
104	ben	['']	[]
105	hierbij	['']	[]
106	ook	['']	[]
107	ingegaan	['']	[]
108	op	['']	[]
109	de	['']	[]
110	door	['']	[]
111	u	['B_PER_1']	['B_PER_4']
112	geformuleerde	['']	[]
113	aanbevelingen	['']	[]
114	die	['']	[]
115	gericht	['']	[]
116	waren	['']	[]
117	op	['']	[]
118	het	['']	[]
119	verbeteren	['']	[]
120	van	['']	[]
121	de	['']	[]
122	opvang	['']	[]
123	van	['']	[]
124	veteranen	['']	[]
125	en	['']	[]
126	het	['']	[]
127	verbeteren	['']	[]
128	van	['']	[]
129	de	['']	[]
130	informatievoorziening	['']	[]
131	hieromtrent	['']	[]
132	.	['']	[]
133	In	['']	[]
134	mijn	['B_PER_2']	['B_PER_2']
135	reactie	['']	[]
136	op	['']	[]
137	aanbeveling	['']	[]
138	vier	['']	[]
139	heb	['']	[]
140	ik	['B_PER_2']	['B_PER_2']
141	u	['B_PER_1']	['I_PER_4']
142	toegezegd	['']	[]
143	in	['']	[]
144	overleg	['']	[]
145	te	['']	[]
146	treden	['']	[]
147	met	['']	[]
148	de	['']	[]
149	uitvoerders	['']	[]
150	van	['']	[]
151	de	['']	[]
152	regeling	['']	[]
153	Bed	['']	[]
154	,	['']	[]
155	Bad	['']	[]
156	,	['']	[]
157	Brood	['']	[]
158	,	['']	[]
159	Budget	['']	[]
160	(	['']	[]
161	BBBB	['']	[]
162	)	['']	[]
163	en	['']	[]
164	de	['']	[]
165	regeling	['']	[]
166	Time	['']	[]
167	Out	['']	[]
168	,	['']	[]
169	om	['']	[]
170	te	['']	[]
171	onderzoeken	['']	[]
172	op	['']	[]
173	welke	['']	[]
