	token	gold	model
0	Ministerie	['']	[]
1	van	['']	[]
2	Volksgezondheid	['']	[]
3	,	['']	[]
4	Welzijn	['']	[]
5	en	['']	[]
6	Sport	['']	[]
7	>	['']	[]
8	Retouradres	['']	[]
9	Postbus	['']	[]
10	20350	['']	[]
11	2500	['']	[]
12	El	['']	[]
13	Den	['']	[]
14	Haag	['']	[]
15	Adviescollege	['']	[]
16	Openbaarheid	['']	[]
17	en	['']	[]
18	Informatiehuishouding	['']	[]
19	T.a.v.	['']	[]
20	mevrouw	['B_PER_1']	['B_PER_1']
21	I.	['I_PER_1']	['I_PER_1']
22	van	['I_PER_1']	['I_PER_1']
23	Gent	['I_PER_1']	['I_PER_1']
24	en	['']	[]
25	mevrouw	['B_PER_2']	['B_PER_2']
26	L.	['I_PER_2']	['I_PER_2']
27	Bremmer	['I_PER_2']	['I_PER_2']
28	Postbus	['']	[]
29	18601	['']	[]
30	2595	['']	[]
31	AN	['']	[]
32	DEN	['']	[]
33	HAAG	['']	[]
34	Bezoekadres	['']	[]
35	:	['']	[]
36	Parnassusplein	['']	[]
37	5	['']	[]
38	2511	['']	[]
39	VX	['']	[]
40	Den	['']	[]
41	Haag	['']	[]
42	T	['']	[]
43	70	['']	[]
44	340	['']	[]
45	79	['']	[]
46	11	['']	[]
47	Secretaris	['B_PER_3']	[]
48	Generaal	['I_PER_3']	[]
49	/	['I_PER_3']	[]
50	plv.	['']	[]
51	Secretaris	['B_PER_3']	[]
52	Generaal	['I_PER_3']	[]
53	Programmadirectie	['I_PER_3']	[]
54	Openbaarheid	['I_PER_3']	[]
55	Team	['I_PER_3']	[]
56	F	['I_PER_3']	['B_PER_3']
57	Datum	['']	[]
58	-	['']	[]
59	1	['']	[]
60	JUNI	['']	[]
61	2023	['']	[]
62	Betreft	['']	[]
63	reactie	['']	[]
64	advies	['']	[]
65	inzake	['']	[]
66	Woo-verzoek	['']	[]
67	naar	['']	[]
68	informatie	['']	[]
69	over	['']	[]
70	COVID-19	['']	[]
71	Geachte	['']	[]
72	mevrouw	['B_PER_1']	['B_PER_4']
73	Van	['I_PER_1']	['I_PER_4']
74	Gent	['']	['I_PER_4']
75	en	['']	[]
76	Bremmer	['B_PER_1']	['B_PER_5']
77	,	['']	[]
78	Op	['']	[]
79	5	['']	[]
80	april	['']	[]
81	2023	['']	[]
82	heeft	['']	[]
83	uw	['']	[]
84	adviescollege	['']	[]
85	advies	['']	[]
86	uitgebracht	['']	[]
87	naar	['']	[]
88	aanleiding	['']	[]
89	van	['']	[]
90	een	['']	[]
91	klacht	['']	[]
92	van	['']	[]
93	een	['']	[]
94	journalist	['']	[]
95	over	['']	[]
96	de	['']	[]
97	afhandeling	['']	[]
98	van	['']	[]
99	Woo-verzoeken	['']	[]
100	door	['']	[]
101	het	['B_PER_3']	[]
102	ministerie	['I_PER_3']	[]
103	van	['I_PER_3']	[]
104	VWS	['I_PER_3']	[]
105	.	['']	[]
106	Een	['']	[]
107	afschrift	['']	[]
108	van	['']	[]
109	dit	['']	[]
110	advies	['']	[]
111	heeft	['']	[]
112	u	['B_PER_4']	[]
113	gestuurd	['']	[]
114	naar	['']	[]
115	de	['']	[]
116	Tweede	['']	[]
117	Kamer	['']	[]
118	,	['']	[]
119	de	['']	[]
120	minister	['']	[]
121	van	['']	[]
122	Binnenlandse	['']	[]
