>,,
Retouradres,,
Postbus,,
20011,,
2500,,
EA,,
Den,,
Haag,,
Vereniging,,
van,,
Nederlandse,,
Projectontwikkeling,,
Maatschappijen,,
(,,
NEPROM,,
),,
T.a.v.,,
Voorzitter,,B_PER_1
NEPROM,,I_PER_1
",",,
Desirée,B-PER,B_PER_1
Uitzetter,I-PER,I_PER_1
Postbus,,
620,,
2270,,
AP,,
Voorburg,,
Datum,,
18,,
januari,,
2023,,
Betreft,,
Reactie,,
op,,
rapport,,
‘terugdringen,,
onnodige,,
vertraging,,
woningbouw,,
door,,
bezwaar-,,
en,,
beroepsprocedures’,,
Volkshuisvesting,,
en,,
Bouwen,,
Woningbouw,,
Turfmarkt,,
147,,
Den,,
Haag,,
Postbus,,
20011,,
2500,,
EA,,
Den,,
Haag,,
www.rijksoverheid.nl,,
www.linkedin.com/company/,,
ministerie-van-bzk,,
Kenmerk,,
2022-0000717050,,
Uw,,
kenmerk,,
20220901/JF/NZ/sab,,
Bijlage(n,,
),,
2,,
Pagina,,
1,,
van,,
3,,
Geachte,,
mevrouw,,B_PER_1
Uitzetter,B-PER,I_PER_1
",",,
Op,,
1,,
september,,
2022,,
heeft,,
u,,B_PER_1
het,,
rapport,,
‘,,
Terugdringen,,
onnodige,,
vertraging,,
woningbouw,,
door,,
bewaar-,,
en,,
beroepsprocedures,,
’,,
aan,,
mij,,B_PER_2
en,,
de,,B_PER_3
minister,,I_PER_3
voor,,I_PER_3
Rechtsbescherming,,I_PER_3
toegezonden,,
.,,
Mede,,
namens,,
de,,B_PER_3
minister,,I_PER_3
voor,,I_PER_3
Rechtsbescherming,,I_PER_3
ontvangt,,
u,,B_PER_1
hierbij,,
mijn,,B_PER_2
reactie,,
op,,
dit,,
rapport,,
.,,
In,,
dit,,
rapport,,
agendeert,,
u,,B_PER_1
het,,
onderwerp,,
‘versnellen,,
van,,
juridische,,
procedures’,,
bij,,
de,,
ontwikkeling,,
en,,
bouw,,
van,,
nieuwe,,
woningen,,
en,,
met,,
name,,
daar,,
waar,,
vertraging,,
optreedt,,
door,,
(,,
onnodige,,
),,
bezwaar-,,
en,,
beroepsprocedures,,
.,,
U,,B_PER_1
doet,,
een,,
aantal,,
concrete,,
